central,MorrisA20S,5points,summit,colonnade,marriott280,chickfila280,walmart280,walmart280,chickfila280,marriott280,colonnade,summit,5points,MorrisA20S,central
04:50:00,,,05:15:00,05:30:00,05:37:00,05:43:00,05:52:00,05:57:00,06:03:00,06:06:00,06:15:00,06:21:00,,,06:43:00
05:50:00,,,06:15:00,06:30:00,06:37:00,06:43:00,06:52:00,06:57:00,07:03:00,07:06:00,--,07:21:00,,,07:43:00
06:50:00,,,07:15:00,07:30:00,07:37:00,07:43:00,07:52:00,07:57:00,08:03:00,08:06:00,08:15:00,08:21:00,,,08:43:00
07:50:00,,,08:15:00,08:30:00,08:37:00,08:43:00,08:52:00,08:57:00,09:03:00,09:06:00,09:15:00,09:21:00,,,09:43:00
08:50:00,,,09:15:00,09:30:00,09:37:00,09:43:00,09:52:00,09:57:00,10:03:00,10:06:00,10:15:00,10:21:00,,,10:43:00
09:50:00,,,10:15:00,10:30:00,10:37:00,10:43:00,10:52:00,10:57:00,11:03:00,11:06:00,11:15:00,11:21:00,,,11:43:00
10:50:00,,,11:15:00,11:30:00,11:37:00,11:43:00,11:52:00,11:57:00,12:03:00,12:06:00,12:15:00,12:21:00,,,12:43:00
11:50:00,,,12:15:00,12:30:00,12:37:00,12:43:00,12:52:00,12:57:00,13:03:00,13:06:00,13:15:00,13:21:00,,,13:43:00
12:50:00,,,13:15:00,13:30:00,13:37:00,13:43:00,13:52:00,13:57:00,14:03:00,14:06:00,14:15:00,14:21:00,,,14:43:00
13:50:00,,,14:15:00,14:30:00,14:37:00,14:43:00,14:52:00,14:57:00,15:03:00,15:06:00,15:15:00,15:21:00,,,15:43:00
14:50:00,,,15:15:00,15:30:00,15:37:00,15:43:00,15:52:00,15:57:00,16:03:00,16:06:00,16:15:00,16:21:00,,,16:43:00
15:50:00,,,16:15:00,16:30:00,--,16:43:00,16:52:00,16:57:00,17:03:00,17:06:00,17:15:00,17:21:00,,,17:43:00
16:50:00,,,17:15:00,17:30:00,--,17:43:00,17:52:00,17:57:00,18:03:00,18:06:00,18:15:00,18:21:00,,,18:43:00
17:50:00,,,18:15:00,18:30:00,--,18:43:00,18:52:00,18:57:00,19:03:00,19:06:00,19:15:00,19:21:00,,,19:43:00
18:50:00,,,19:15:00,19:30:00,--,19:43:00,19:52:00,19:57:00,20:06:00,--,20:18:00,20:24:00,,,20:46:00
20:00:00,,,20:15:00,20:30:00,20:37:00,20:43:00,20:52:00,20:57:00,21:03:00,21:06:00,21:15:00,21:21:00,,,21:43:00
21:00:00,,,21:25:00,21:40:00,21:47:00,21:53:00,--,--,--,--,--,--,--,--,--
